Transaction,Award ID,Order Number,DUNS,Recipient,Recipient City,Recipient State,Recipient CD,Recipient Country,Pop State,Pop CD,Pop Country,Award Amount,Award Date,Award Type,Awarding Agency,Awarding Bureau,Funding Agency,Funding Bureau,CFDA Code,CFDA Title,Fiscal Year,Role
E11018D5-4136-0572-C1C3-5A0D487DEC56,"14-3300-7098","N/A",124726725,"Regents of the University of California at Be","Berkeley                    ","CA",13,"USA","CA",13,"USA","$30,000.00",02/27/2014,Grants,"National Foundation on the Arts and the Humanities","National Endowment for the Arts","N/A","N/A","45.024","Promotion of the Arts_Grants to Organizations and Individuals",2014,Prime
4A194FDF-0673-DDA5-7AAE-721E48AEB1A6,"14-4400-7060","N/A",124726725,"Regents of the University of California at Be","Berkeley                    ","CA",13,"USA","CA",13,"USA","$40,000.00",02/25/2014,Grants,"National Foundation on the Arts and the Humanities","National Endowment for the Arts","N/A","N/A","45.024","Promotion of the Arts_Grants to Organizations and Individuals",2014,Prime
D65AA68D-9C9F-E7AA-B8CE-B1EA051959BA,"DESC0001041","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA BERKL","Berkeley                    ","CA",13,"USA","CA",00,"USA","($1,109.00)",09/22/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
12F6245C-F78D-1AD5-A7A5-D171D3A2C06C,"NNX07AR71G","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA THE (","BERKELEY","CA",09,"USA","CA",13,"USA","$42,706.00",07/24/2014,Grants,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","N/A","N/A","43.001","Science",2014,Prime
C1108B3B-7B75-E084-7E1A-E496A963CC21,"NNX07AK70G","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA THE (","BERKELEY","CA",09,"USA","CA",13,"USA","($18.00)",11/13/2013,Grants,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","N/A","N/A","43.001","Science",2014,Prime
BF24753A-22DB-3FC2-6815-E1E199922897,"N624731420017","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",23,"USA","$10,678.00",09/26/2014,Grants,"Department of Defense","Department of Defense","N/A","N/A","12.300","Basic and Applied Scientific Research",2014,Prime
3D35231A-DD70-4075-85D7-5A7A9FFAAED1,"2012DBBX0001","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",18,"USA","$126,714.00",03/04/2014,Others,"Department of Justice","Department of Justice","N/A","N/A","","",2014,Sub
C3194D69-3C67-4D45-A5B1-72AE53E5FD31,"3003046693","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",11,"USA","$3,003,046,693.00",05/23/2014,Others,"National Science Foundation","National Science Foundation","N/A","N/A","","",2014,Sub
95498366-19BF-293C-9DBA-6B70EBF5B83F,"DENE0000703","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","$400,000.00",01/17/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.121","Nuclear Energy Research, Development and Demonstration",2014,Prime
B64B0899-371F-0FB7-8E4B-450B56337983,"1437775","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$377,146.00",07/21/2014,Grants,"National Science Foundation","National Science Foundation","N/A","N/A","47.041","Engineering Grants",2014,Prime
C7ED25C7-0E4F-9B98-6C75-9D193CD8F453,"HR00111220016","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$3,142,275.00",03/11/2014,Grants,"Department of Defense","Department of Defense","N/A","N/A","12.910","Research and Technology Development",2014,Prime
1961E95C-FB58-00B2-11EE-E192E3ACD143,"1442724","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$789,791.00",07/08/2014,Grants,"National Science Foundation","National Science Foundation","N/A","N/A","47.074","Biological Sciences",2014,Prime
D5B35FDC-3AB7-EA82-1E4D-025B95637C5C,"DENE0000701","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$340,000.00",01/07/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.121","Nuclear Energy Research, Development and Demonstration",2014,Prime
16709D55-2EE2-6591-AF85-1234D007A48A,"DESC0010566","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$702,029.00",07/09/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
6BAA10A8-80DC-2A42-ECCD-1BCD453900B3,"DENA0000979","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$2,500,000.00",11/08/2013,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.113","Defense Nuclear Nonproliferation Research",2014,Prime
0510BE88-DFDA-4309-0D21-1F30285C7B63,"DESC0007911","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$147,000.00",03/31/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
A317DA59-9E67-87B4-60AC-2EFC3973447B,"DENA0000979","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$2,500,000.00",03/31/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.113","Defense Nuclear Nonproliferation Research",2014,Prime
250E10B9-E30B-5282-305F-41A29584EC83,"DESC0006397","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$150,000.00",06/02/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
8566EF17-6658-60C8-6891-485DA77C6D9C,"DESC0010409","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$150,000.00",06/11/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
664529AE-B6B9-BCA6-AD72-562A99DCF687,"DESC0008700","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$364,306.00",07/10/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
37DFB0CA-F1B7-2B35-235D-5AF2596B105C,"DENA0001978","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$305,430.00",03/13/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.112","Stewardship Science Grant Program",2014,Prime
2AE57535-372C-9727-BC8D-6E911582BEAF,"DESC0008084","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$150,000.00",04/23/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
4F4D9EF2-54A0-A720-A75E-742D707DD33A,"DESC0010570","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$636,033.00",07/10/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
8287FD90-264C-6910-BB40-79903B46BBF6,"DESC0007959","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$255,000.00",03/31/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
6047D25A-AE99-032C-11DE-888344D1F5CF,"DESC0008380","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$100,000.00",06/30/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
331A9BD5-1923-223C-7C7E-8908BA3CDBA8,"DENA0002198","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$55,926.00",12/19/2013,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.112","Stewardship Science Grant Program",2014,Prime
597FAE34-7A60-A596-2EDB-8A10B275A09C,"DESC0008699","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$362,311.00",07/10/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
C25E01E2-B784-75BC-ADCE-94D57C59E158,"DESC0010567","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$278,684.00",07/10/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
35268754-2F6F-CB13-6CC0-95FB958E40E0,"DESC0004658","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$165,000.00",07/10/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
54F226E0-551D-1063-9FF1-A24745948C7F,"DENA0002198","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$55,925.00",05/15/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.112","Stewardship Science Grant Program",2014,Prime
88DF5472-7B18-03BE-12C4-B3B92CA78B92,"DESC0006394","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$159,224.00",07/10/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
689CC05D-C17B-1E7B-71CC-B4CC62200A6D,"DESC0007867","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$107,000.00",02/26/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
E1C4D44C-468A-ED78-4365-B751D411B92B,"DENE0000686","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$222,282.00",01/02/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.121","Nuclear Energy Research, Development and Demonstration",2014,Prime
17B58F59-9BCF-2A88-3D22-C17BEDDC5637,"DEEE0006351","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$366,271.00",11/14/2013,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.086","Conservation Research and Development",2014,Prime
